     104,907 -4,79700E-004
     105,344 -5,17100E-004
     105,766 -4,90300E-004
     106,204 -4,98200E-004
     106,641 -5,05400E-004
     107,063 -4,78500E-004
     107,500 -5,16800E-004
     107,938 -4,89500E-004
     108,360 -4,99600E-004
     108,797 -5,07300E-004
     109,235 -4,78900E-004
     109,657 -5,12900E-004
     110,094 -4,90100E-004
     110,532 -5,00600E-004
     110,954 -4,98800E-004
     111,391 -4,87000E-004
     111,829 -5,12500E-004
     112,250 -4,97100E-004
     112,688 -4,78300E-004
     113,125 -5,03600E-004
     113,547 -4,95300E-004
     113,985 -4,95700E-004
     114,422 -5,09400E-004
     114,844 -4,80100E-004
     115,282 -4,98300E-004
     115,719 -5,17300E-004
     116,157 -4,79700E-004
     116,579 -5,02400E-004
     117,016 -4,96200E-004
     117,454 -4,95300E-004
     117,875 -5,20300E-004
     118,313 -4,95500E-004
     118,750 -4,78500E-004
     119,188 -5,14600E-004
     119,610 -4,91300E-004
     120,047 -4,99900E-004
     120,469 -5,02200E-004
     120,907 -4,81300E-004
     121,344 -4,91600E-004
     121,766 -4,96100E-004
     122,204 -5,09900E-004
     122,625 -4,81900E-004
     123,063 -5,14400E-004
     123,485 -4,91600E-004
     123,922 -4,91600E-004
     124,360 -5,15200E-004
     124,782 -4,83200E-004
     125,219 -5,08000E-004
     125,657 -4,96400E-004
     126,079 -4,90300E-004
     126,516 -5,18100E-004
     126,954 -4,92100E-004
     127,375 -5,01000E-004
     127,813 -5,00100E-004
     128,250 -4,85000E-004
     128,672 -5,17600E-004
     129,110 -4,90800E-004
     129,547 -5,19400E-004
     129,985 -4,83000E-004
     130,422 -4,99500E-004
     130,860 -5,12300E-004
     131,282 -4,86600E-004
     131,719 -5,00500E-004
     132,157 -4,96300E-004
     132,579 -4,90800E-004
     133,016 -5,14400E-004
     133,454 -4,95900E-004
     133,875 -4,96800E-004
     134,313 -5,16100E-004
     134,750 -4,84200E-004
     135,172 -5,03700E-004
     135,610 -4,95700E-004
     136,047 -4,94900E-004
     136,469 -5,12600E-004
     136,907 -4,78500E-004
     137,344 -5,02000E-004
     137,766 -4,96900E-004
     138,204 -4,94500E-004
     138,641 -5,11500E-004
     139,063 -4,80000E-004
     139,500 -5,09900E-004
     139,922 -4,92700E-004
     140,360 -4,99700E-004
     140,797 -4,91500E-004
     141,219 -4,96600E-004
     141,657 -5,13700E-004
     142,079 -4,77400E-004
     142,516 -5,08900E-004
     142,954 -4,98100E-004
     143,375 -4,92300E-004
     143,813 -5,12800E-004
     144,250 -4,80000E-004
     144,672 -4,99200E-004
     145,110 -4,97700E-004
     145,547 -4,77700E-004
     145,969 -5,13900E-004
     146,407 -4,91800E-004
     146,844 -5,00700E-004
     147,266 -5,02400E-004
     147,704 -4,79600E-004
     148,141 -5,03900E-004
     148,563 -4,97400E-004
     149,000 -4,79500E-004
     149,438 -5,16300E-004
     149,875 -4,96800E-004
     150,297 -4,96300E-004
     150,735 -4,91600E-004
     151,625 -5,01200E-004
     152,047 -4,99300E-004
     152,485 -4,89300E-004
     152,907 -5,18000E-004
     153,344 -4,83600E-004
     153,782 -4,93100E-004
     154,219 -5,16700E-004
     154,641 -4,95900E-004
     155,079 -4,86500E-004
     155,516 -4,96700E-004
     155,954 -5,02900E-004
     156,375 -4,82200E-004
     156,813 -4,98900E-004
     157,250 -5,16300E-004
     157,688 -4,96300E-004
     158,125 -4,83000E-004
     158,563 -4,97600E-004
     158,985 -5,11700E-004
     159,422 -4,87400E-004
     159,860 -4,97500E-004
     160,297 -5,14500E-004
     160,719 -4,90300E-004
     161,157 -4,79400E-004
     161,594 -4,98900E-004
     162,032 -5,14400E-004
     162,469 -4,88300E-004
     162,891 -4,87600E-004
     163,329 -4,93900E-004
     163,766 -5,00300E-004
     164,204 -4,77600E-004
     164,641 -4,93800E-004
     165,079 -5,04200E-004
     165,500 -4,87300E-004
     165,938 -4,75500E-004
     166,375 -4,93900E-004
     166,813 -4,87700E-004
     167,250 -4,72900E-004
     167,672 -4,71900E-004
     168,110 -4,90800E-004
     168,547 -4,72000E-004
     168,985 -4,49900E-004
     169,407 -4,90300E-004
     169,844 -4,61700E-004
     170,282 -4,68700E-004
     170,704 -4,55500E-004
     171,141 -4,58300E-004
     171,563 -4,51600E-004
     172,000 -4,26900E-004
     172,438 -4,62500E-004
     172,860 -4,38700E-004
     173,297 -4,46100E-004
     173,735 -4,60300E-004
     174,157 -4,29500E-004
     174,594 -4,36800E-004
     175,032 -4,35400E-004
     175,454 -4,04700E-004
     175,891 -4,35500E-004
     176,329 -4,08600E-004
     176,750 -4,14200E-004
     177,188 -4,21700E-004
     177,625 -3,96300E-004
     178,047 -4,07600E-004
     178,485 -4,18300E-004
     178,922 -3,92200E-004
     179,360 -3,68700E-004
     179,797 -3,86100E-004
     180,235 -3,89000E-004
     180,672 -3,81000E-004
     181,110 -3,65400E-004
     181,547 -3,54200E-004
     181,969 -3,72200E-004
     182,407 -3,63500E-004
     182,844 -3,47500E-004
